id,hamming_original,accuracy_original,hamming_vae,accuracy_vae
000101,0,1.0,70,0.30000000000000004
000102,0,1.0,87,0.13
000103,0,1.0,78,0.21999999999999997
000104,0,1.0,63,0.37
000105,0,1.0,94,0.06000000000000005
000106,0,1.0,70,0.30000000000000004
000107,0,1.0,98,0.020000000000000018
000108,0,1.0,98,0.020000000000000018
000109,0,1.0,43,0.5700000000000001
000110,0,1.0,75,0.25
000111,0,1.0,86,0.14
000112,0,1.0,94,0.06000000000000005
000113,0,1.0,94,0.06000000000000005
000114,0,1.0,93,0.06999999999999995
000115,0,1.0,88,0.12
000116,0,1.0,78,0.21999999999999997
000117,0,1.0,73,0.27
000118,0,1.0,88,0.12
000119,0,1.0,80,0.19999999999999996
000120,0,1.0,79,0.20999999999999996
000121,0,1.0,68,0.31999999999999995
000122,0,1.0,61,0.39
000123,1,0.99,62,0.38
000124,0,1.0,74,0.26
000125,0,1.0,78,0.21999999999999997
000126,0,1.0,96,0.040000000000000036
000127,0,1.0,51,0.49
000128,0,1.0,92,0.07999999999999996
000129,0,1.0,70,0.30000000000000004
000130,0,1.0,92,0.07999999999999996
000131,0,1.0,80,0.19999999999999996
000132,0,1.0,82,0.18000000000000005
000133,0,1.0,82,0.18000000000000005
000134,1,0.99,84,0.16000000000000003
000135,0,1.0,86,0.14
000136,0,1.0,70,0.30000000000000004
000137,0,1.0,78,0.21999999999999997
000138,0,1.0,75,0.25
000139,0,1.0,60,0.4
000140,0,1.0,79,0.20999999999999996
000141,0,1.0,58,0.42000000000000004
000142,0,1.0,94,0.06000000000000005
000143,0,1.0,96,0.040000000000000036
000144,0,1.0,82,0.18000000000000005
000145,0,1.0,90,0.09999999999999998
000146,0,1.0,91,0.08999999999999997
000147,1,0.99,85,0.15000000000000002
000148,0,1.0,83,0.17000000000000004
000149,0,1.0,39,0.61
000150,0,1.0,91,0.08999999999999997
000151,0,1.0,91,0.08999999999999997
000152,0,1.0,82,0.18000000000000005
000153,0,1.0,68,0.31999999999999995
000154,0,1.0,91,0.08999999999999997
000155,0,1.0,58,0.42000000000000004
000156,0,1.0,91,0.08999999999999997
000157,1,0.99,80,0.19999999999999996
000158,0,1.0,95,0.050000000000000044
000159,0,1.0,38,0.62
000160,0,1.0,86,0.14
000161,0,1.0,91,0.08999999999999997
000162,0,1.0,93,0.06999999999999995
000163,0,1.0,49,0.51
000164,0,1.0,58,0.42000000000000004
000165,0,1.0,90,0.09999999999999998
000166,0,1.0,52,0.48
000167,0,1.0,86,0.14
000168,0,1.0,85,0.15000000000000002
000169,0,1.0,90,0.09999999999999998
000170,0,1.0,65,0.35
000171,0,1.0,98,0.020000000000000018
